fuzz_send,fuzz_recv,time,mode
0300002d02f080320100010000001b000804000000000000fd000009505f50524f4752414dff09000404240000,0300001302f080320200000000000000008500,1652602770.7346492,1
0300002502f080320100010000001300060601120a10020002000082000000ff0900023041,0300001302f080320200000000000000008500,1652602775.7736611,1
0300002b02f0803201000100000019000c0601120a10020002000082000000ff0900083041303030303141,0300001302f080320200000000000000008500,1652602775.7766562,1
0300002702f080320100010000001500080601120a10020002000082000000ff09000404240000,0300001302f080320200000000000000008500,1652602775.779652,1
0300001602f0803201000100000006000007ffffffff,0300001302f080320200000000000000008500,1652602780.7521062,1
0300001c02f080320100010000000a000607ffffffff000400100111,0300001302f080320200000000000000008500,1652602780.7541356,1
0300001c02f080320100010000000a000607ffffffffff0900023041,0300001302f080320200000000000000008500,1652602780.7572794,1
0300002202f0803201000100000010000c07ffffffffff0900083041303030303141,0300001302f080320200000000000000008500,1652602780.7596827,1
0300001e02f080320100010000000c000807ffffffffff09000404240000,0300001302f080320200000000000000008500,1652602780.7618098,1
0300002702f080320100010000001500081e01120a10020002000082000000ff09000404240000,0300001302f080320200000000000000008500,1652602785.8393698,1
0300001c02f080320100010000000a00061cffffffffff0900023041,0300001302f080320200000000000000008500,1652602790.7824874,1
0300002202f0803201000100000010000c1cffffffffff0900083041303030303141,0300001302f080320200000000000000008500,1652602790.7856174,1
0300001e02f080320100010000000c00081cffffffffff09000404240000,0300001302f080320200000000000000008500,1652602790.7884483,1
0300001f02f080320100010000000f00002d01120a10020001000184000008,0300001302f080320200000000000000008500,1652602795.767193,1
0300002502f080320100010000001300062d01120a10020001000184000008000400100111,0300001302f080320200000000000000008500,1652602795.770202,1
0300002502f080320100010000001300062d01120a10020001000184000008ff0900023041,0300001302f080320200000000000000008500,1652602795.7722032,1
0300002b02f0803201000100000019000c2d01120a10020001000184000008ff0900083041303030303141,0300001302f080320200000000000000008500,1652602795.7754066,1
0300002702f080320100010000001500082d01120a10020001000184000008ff09000404240000,0300001302f080320200000000000000008500,1652602795.7781954,1
0300001e02f080320100010000000c00082effffffffff09000404240000,0300001302f080320200000000000000008500,1652602800.8901052,1
0300002502f080320100010000001300062701120a10020001000184000008ff0900023041,0300001302f080320200000000000000008500,1652602805.8130155,1
0300002b02f0803201000100000019000c2701120a10020001000184000008ff0900083041303030303141,0300001302f080320200000000000000008500,1652602805.816026,1
0300002702f080320100010000001500082701120a10020001000184000008ff09000404240000,0300001302f080320200000000000000008500,1652602805.8190165,1
0300002702f0803201000100000017000003000000000000fd0002432009505f50524f4752414d,0300001302f080320200000000000000008500,1652602810.8283932,1
0300002d02f080320100010000001b000603000000000000fd0002432009505f50524f4752414d000400100111,0300001302f080320200000000000000008500,1652602810.8304613,1
0300002d02f080320100010000001b000603000000000000fd0002432009505f50524f4752414dff0900023041,0300001302f080320200000000000000008500,1652602810.8334637,1
0300003302f0803201000100000021000c03000000000000fd0002432009505f50524f4752414dff0900083041303030303141,0300001302f080320200000000000000008500,1652602810.8354526,1
0300002f02f080320100010000001d000803000000000000fd0002432009505f50524f4752414dff09000404240000,0300001302f080320200000000000000008500,1652602810.8384526,1
0300002702f080320100010000001500080101120a10020001000184000008ff09000404240000,0300001302f080320200000000000000008500,1652602815.903017,1
0300002d02f080320100010000001b000600000000000000fd0002432009505f50524f4752414dff0900023041,0300001302f080320200000000000000008500,1652602820.8596663,1
0300003302f0803201000100000021000c00000000000000fd0002432009505f50524f4752414dff0900083041303030303141,0300001302f080320200000000000000008500,1652602820.8616679,1
0300002f02f080320100010000001d000800000000000000fd0002432009505f50524f4752414dff09000404240000,0300001302f080320200000000000000008500,1652602820.8636684,1
0300001f02f080320100010000000f0000ffff120a10020002000082000000,0300001302f080320200000000000000008500,1652602825.8455317,1
0300002502f08032010001000000130006ffff120a10020002000082000000000400100111,0300001302f080320200000000000000008500,1652602825.8475242,1
